scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,c,averageTrueBenefit
111,absent,quadratic-moderate,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0
112,absent,quadratic-moderate,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0
113,absent,quadratic-moderate,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0
114,absent,quadratic-moderate,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0
115,absent,quadratic-moderate,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0
116,absent,quadratic-moderate,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0
117,absent,quadratic-moderate,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0
118,absent,quadratic-moderate,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0
119,absent,quadratic-moderate,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0
120,absent,quadratic-moderate,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0
121,absent,quadratic-moderate,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0
122,absent,quadratic-moderate,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0
123,absent,quadratic-moderate,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0
124,absent,quadratic-moderate,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0
125,absent,quadratic-moderate,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0
126,absent,quadratic-moderate,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0
127,absent,quadratic-moderate,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0
128,absent,quadratic-moderate,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0
129,absent,quadratic-moderate,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0
130,absent,quadratic-moderate,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0
131,absent,quadratic-moderate,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0
132,absent,quadratic-moderate,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0
133,absent,quadratic-moderate,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0
134,absent,quadratic-moderate,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0
135,absent,quadratic-moderate,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0
136,absent,quadratic-moderate,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0
137,absent,quadratic-moderate,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0
138,absent,quadratic-moderate,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0
139,absent,quadratic-moderate,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0
140,absent,quadratic-moderate,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.77,1,-0.01642314,-5,0
141,absent,quadratic-moderate,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0
142,absent,quadratic-moderate,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0
143,absent,quadratic-moderate,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0
144,absent,quadratic-moderate,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.71,1,-0.01642314,-5,0
145,absent,quadratic-high,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0
146,absent,quadratic-high,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0
147,absent,quadratic-high,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0
148,absent,quadratic-high,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.22,1,-0.05168458,-5,0
149,absent,quadratic-high,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0
150,absent,quadratic-high,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.16,1,-0.05941311,-5,0
